game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
470310,TROUBLESHOOTER: Abandoned Children,https://store.steampowered.com/app/470310,99.5,98.94,0.02,99.38,74.46
2191680,Mistwinter Bay,https://store.steampowered.com/app/2191680,99.38,99.66,97.82,99.75,99.15
1308760,Mesmer,https://store.steampowered.com/app/1308760,25.79,99.47,0.03,99.69,56.24
1182110,Weed Shop 3,https://store.steampowered.com/app/1182110,2.21,1.35,0.13,95.42,24.78
1641830,Axis Football 2021,https://store.steampowered.com/app/1641830,1.07,99.52,0.02,99.71,50.08
589870,Learn to Fly 3,https://store.steampowered.com/app/589870,0.91,92.56,0.27,97.89,47.91
2210700,Pechka: Historical Story Adventure,https://store.steampowered.com/app/2210700,0.69,4.97,0.04,99.71,26.35
1877960,Trimps,https://store.steampowered.com/app/1877960,0.64,99.61,0.03,97.16,49.36
2896980,Cats in the Ancient City of Gu Su,https://store.steampowered.com/app/2896980,0.48,97.53,0.02,0.33,24.59
356890,One More Line,https://store.steampowered.com/app/356890,0.37,11.57,0.04,98.13,27.53
